Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb_Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
26,tt0249174,4/28/2024,4/28/2024,,Super Mario Bros. 3,Super Mario Bros. 3,https://www.imdb.com/title/tt0249174/,Video Game,9.2,,1988,"Action, Adventure, Family, Fantasy",6097,7/15/1989,"Shigeru Miyamoto, Takashi Tezuka"
31,tt0221606,4/28/2024,4/28/2024,,Super Mario World,Super Mario World,https://www.imdb.com/title/tt0221606/,Video Game,9.2,,1990,"Action, Adventure, Family, Fantasy",5840,8/23/1991,Takashi Tezuka
67,tt0204657,4/28/2024,4/28/2024,,Super Mario 64,Super Mario 64,https://www.imdb.com/title/tt0204657/,Video Game,9.1,,1996,"Action, Adventure, Comedy, Family, Fantasy",7557,9/29/1996,Shigeru Miyamoto
168,tt0879874,4/28/2024,4/28/2024,,Super Mario Galaxy,Super Mario Galaxy,https://www.imdb.com/title/tt0879874/,Video Game,9.1,,2007,"Action, Adventure, Family, Fantasy, Sci-Fi",6639,11/12/2007,Yoshiaki Koizumi
110,tt0293062,4/28/2024,4/28/2024,,Super Smash Bros. Melee,Dai-Rantô Smash Brothers Deluxe,https://www.imdb.com/title/tt0293062/,Video Game,9,,2001,"Action, Fantasy, Sci-Fi, Sport",3651,12/3/2001,Masahiro Sakurai
186,tt1698007,4/28/2024,4/28/2024,,Super Mario Galaxy 2,Super Mario Galaxy 2,https://www.imdb.com/title/tt1698007/,Video Game,9,,2010,"Action, Adventure, Family, Fantasy, Sci-Fi",3263,5/23/2010,Koichi Hayashida
237,tt6423026,4/28/2024,4/28/2024,,Super Mario Odyssey,Super Mario Odyssey,https://www.imdb.com/title/tt6423026/,Video Game,9,,2017,"Action, Adventure, Family, Fantasy, Sci-Fi",6582,10/27/2017,Kenta Motokura
16,tt0177266,4/28/2024,4/28/2024,,Super Mario Bros.,Super Mario Bros.,https://www.imdb.com/title/tt0177266/,Video Game,8.9,,1985,"Action, Adventure, Fantasy",7585,11/17/1985,Shigeru Miyamoto
44,tt0221603,4/28/2024,4/28/2024,,Super Mario All-Stars,Sûpâ Mario korekushon,https://www.imdb.com/title/tt0221603/,Video Game,8.9,,1993,"Action, Adventure, Family, Fantasy",1276,8/1/1993,
128,tt0419020,4/28/2024,4/28/2024,,Paper Mario: The Thousand-Year Door,Paper Mario RPG,https://www.imdb.com/title/tt0419020/,Video Game,8.9,,2004,"Adventure, Fantasy",1857,10/11/2004,Ryota Kawade
242,tt5370130,4/28/2024,4/28/2024,,Super Smash Bros. Ultimate,Super Smash Bros. Ultimate,https://www.imdb.com/title/tt5370130/,Video Game,8.8,,2018,"Action, Adventure, Fantasy, Sci-Fi, Sport",4789,12/7/2018,Masahiro Sakurai
66,tt0271807,4/28/2024,4/28/2024,,Super Mario RPG: Legend of the Seven Stars,Super Mario RPG,https://www.imdb.com/title/tt0271807/,Video Game,8.7,,1996,"Action, Adventure, Family, Fantasy",1611,5/13/1996,"Chihiro Fujioka, Yoshihiko Maekawa"
54,tt0241385,4/28/2024,4/28/2024,,Donkey Kong Country,Donkey Kong Country,https://www.imdb.com/title/tt0241385/,Video Game,8.6,,1994,"Action, Adventure, Comedy",3473,11/21/1994,Tim Stamper
65,tt0242419,4/28/2024,4/28/2024,,Donkey Kong Country 2: Diddy's Kong Quest,Donkey Kong Country 2: Diddy's Kong Quest,https://www.imdb.com/title/tt0242419/,Video Game,8.6,,1995,"Action, Adventure",2062,12/4/1995,Tim Stamper
73,tt0234202,4/28/2024,4/28/2024,,Mario Kart 64,Mario Kart 64,https://www.imdb.com/title/tt0234202/,Video Game,8.6,,1996,"Action, Family, Fantasy, Sport",3711,2/12/1997,Hideki Konno
111,tt18573802,4/28/2024,4/28/2024,,Super Mario World: Super Mario Advance 2,Super Mario World: Super Mario Advance 2,https://www.imdb.com/title/tt18573802/,Video Game,8.6,,2001,"Action, Adventure, Fantasy",85,2/11/2002,Hiroyuki Kimura
171,tt0928380,4/28/2024,4/28/2024,,Super Smash Bros. Brawl,Dairantô Sumasshu Burazâzu ekkusu,https://www.imdb.com/title/tt0928380/,Video Game,8.6,,2008,"Action, Adventure, Fantasy, Sci-Fi, Sport",5402,3/9/2008,Masahiro Sakurai
234,tt6608826,4/28/2024,4/28/2024,,Mario Kart 8 Deluxe,Mario Kart 8 Deluxe,https://www.imdb.com/title/tt6608826/,Video Game,8.6,,2017,"Action, Fantasy, Sci-Fi, Sport",4091,4/28/2017,Yusuke Shiraiwa
60,tt0222407,4/28/2024,4/28/2024,,Super Mario World 2: Yoshi's Island,Sûpâ Mario: Yosshî Airando,https://www.imdb.com/title/tt0222407/,Video Game,8.5,,1995,"Action, Adventure, Fantasy",2320,10/4/1995,"Shigefumi Hino, Hideki Konno, Toshihiko Nakago, Takashi Tezuka"
100,tt0276388,4/28/2024,4/28/2024,,Paper Mario,Paper Mario,https://www.imdb.com/title/tt0276388/,Video Game,8.5,,2000,"Action, Adventure, Comedy, Fantasy",1424,10/5/2001,Ryota Kawade
118,tt18688458,4/28/2024,4/28/2024,,Super Mario Advance 4: Super Mario Bros. 3,Super Mario Advance 4: Super Mario Bros. 3,https://www.imdb.com/title/tt18688458/,Video Game,8.5,,2003,"Action, Adventure, Fantasy",96,10/21/2003,Hiroyuki Kimura
121,tt0371816,4/28/2024,4/28/2024,,Mario Kart: Double Dash!!,Mario Kart: Double Dash!!,https://www.imdb.com/title/tt0371816/,Video Game,8.5,,2003,"Action, Family, Fantasy, Sport",2278,11/17/2003,"Daiji Imai, Yasuyuki Oyagi"
206,tt2980042,4/28/2024,4/28/2024,,Super Mario 3D World,Super Mario 3D World,https://www.imdb.com/title/tt2980042/,Video Game,8.5,,2013,"Action, Adventure, Family, Fantasy",2958,11/22/2013,Koichi Hayashida
214,tt2975604,4/28/2024,4/28/2024,,Mario Kart 8,Mario Kart 8,https://www.imdb.com/title/tt2975604/,Video Game,8.5,,2014,"Action, Family, Fantasy, Sci-Fi, Sport",2769,5/30/2014,Kosuke Yabuki
251,tt29359426,4/28/2024,4/28/2024,,Super Mario 3D All-Stars,Super Mario 3D All-Stars,https://www.imdb.com/title/tt29359426/,Video Game,8.5,,2020,"Adventure, Fantasy",88,9/18/2020,Shigeru Miyamoto
255,tt13026416,4/28/2024,4/28/2024,,Super Mario 3D World + Bowser's Fury,Super Mario 3D World + Bowser's Fury,https://www.imdb.com/title/tt13026416/,Video Game,8.5,,2021,"Action, Adventure, Fantasy",1073,2/12/2021,
261,tt28144737,4/28/2024,4/28/2024,,Super Mario Bros. Wonder,Super Mario Bros. Wonder,https://www.imdb.com/title/tt28144737/,Video Game,8.5,,2023,"Action, Adventure, Family, Fantasy",1552,10/20/2023,Shiro Mouri
82,tt0201955,4/28/2024,4/28/2024,,Super Smash Bros.,Nintendô ôru sutâ dairantô Sumasshu burazâzu,https://www.imdb.com/title/tt0201955/,Video Game,8.4,,1999,"Action, Fantasy, Sci-Fi",2603,4/26/1999,Masahiro Sakurai
173,tt1225687,4/28/2024,4/28/2024,,Mario Kart Wii,Mario Kart Wii,https://www.imdb.com/title/tt1225687/,Video Game,8.4,,2008,"Action, Family, Fantasy, Sport",5013,4/27/2008,Yasuyuki Oyagi
178,tt2073610,4/28/2024,4/28/2024,,Mario & Luigi: Bowser's Inside Story,Mario & Ruîji RPG 3!!!,https://www.imdb.com/title/tt2073610/,Video Game,8.4,,2009,"Adventure, Comedy, Fantasy",584,9/14/2009,Hiroyuki Kubota
216,tt2974350,4/28/2024,4/28/2024,,Super Smash Bros. for Wii U,Dairantou sumasshu burazâzu for Wii U,https://www.imdb.com/title/tt2974350/,Video Game,8.3,,2014,"Action, Fantasy, Sci-Fi, Sport",2066,11/21/2014,Masahiro Sakurai
233,tt6218580,4/28/2024,4/28/2024,,Mario Sports Superstars,Mario Sports Superstars,https://www.imdb.com/title/tt6218580/,Video Game,8.3,,2017,Sport,88,3/24/2017,"Kenji Fujioka, Mitsuo Kashiwagi, Reiko Kitao, Shintaro Kiyota, Shugo Takahashi, Hidenori Yamauchi, Masamichi Yamazaki, Naohiro Hayashi"
40,tt0221604,4/28/2024,4/28/2024,,Super Mario Kart,Supa Mario Kato,https://www.imdb.com/title/tt0221604/,Video Game,8.2,,1992,"Action, Family, Fantasy, Sport",2624,9/1/1992,"Hideki Konno, Tadashi Sugiyama"
123,tt0395203,4/28/2024,4/28/2024,,Mario & Luigi: Superstar Saga,Mario & Luigi RPG,https://www.imdb.com/title/tt0395203/,Video Game,8.2,,2003,"Action, Adventure, Comedy, Family, Fantasy",477,11/17/2003,Yoshihiko Maekawa
134,tt0438992,4/28/2024,4/28/2024,,Super Mario 64 DS,Super Mario 64 DS,https://www.imdb.com/title/tt0438992/,Video Game,8.2,,2004,"Action, Adventure, Fantasy",1648,11/21/2004,"Shinichi Ikematsu, Shigeru Miyamoto, Motoi Okamoto"
154,tt0818506,4/28/2024,4/28/2024,,New Super Mario Bros.,New Super Mario Bros.,https://www.imdb.com/title/tt0818506/,Video Game,8.2,,2006,"Action, Adventure, Family, Fantasy",3287,5/15/2006,"Shigeyuki Asuke, Motoi Okamoto"
185,tt1493026,4/28/2024,4/28/2024,,New Super Mario Bros. Wii,New Super Mario Bros. Wii,https://www.imdb.com/title/tt1493026/,Video Game,8.2,,2009,"Action, Adventure, Family, Fantasy",3700,11/15/2009,"Shigeyuki Asuke, Takumi Kawagoe"
188,tt1782422,4/28/2024,4/28/2024,,Donkey Kong Country Returns,Donkey Kong Country Returns,https://www.imdb.com/title/tt1782422/,Video Game,8.2,,2010,"Action, Adventure, Fantasy",1188,11/21/2010,Bryan Walker
190,tt2076943,4/28/2024,4/28/2024,,Super Mario 3D Land,Sûpâ Mario 3D rando,https://www.imdb.com/title/tt2076943/,Video Game,8.2,,2011,"Action, Adventure, Family, Fantasy",2330,11/13/2011,Koichi Hayashida
210,tt3001550,4/28/2024,4/28/2024,,Donkey Kong Country: Tropical Freeze,Donkey Kong Country: Tropical Freeze,https://www.imdb.com/title/tt3001550/,Video Game,8.2,,2014,"Action, Adventure, Family",960,2/21/2014,
246,tt9780232,4/28/2024,4/28/2024,,Super Mario Maker 2,Super Mario Maker 2,https://www.imdb.com/title/tt9780232/,Video Game,8.2,,2019,"Action, Adventure, Family, Fantasy",1084,6/28/2019,Yosuke Oshino
249,tt9655882,4/28/2024,4/28/2024,,Luigi's Mansion 3,Luigi's Mansion 3,https://www.imdb.com/title/tt9655882/,Video Game,8.2,,2019,"Adventure, Comedy, Family, Fantasy, Horror",1248,10/31/2019,"Devon Blanchet, Jason Carr, Bryce Holliday"
109,tt0285312,4/28/2024,4/28/2024,,Luigi's Mansion,Ruîji Manshon,https://www.imdb.com/title/tt0285312/,Video Game,8.1,,2001,"Adventure, Family, Fantasy, Horror, Mystery, Sci-Fi",1699,11/18/2001,Hideki Konno
112,tt0298052,4/28/2024,4/28/2024,,Super Mario Sunshine,Super Mario Sunshine,https://www.imdb.com/title/tt0298052/,Video Game,8.1,,2002,"Action, Adventure, Crime, Family, Fantasy",3527,8/26/2002,"Yoshiaki Koizumi, Kenta Usui"
113,tt0364132,4/28/2024,4/28/2024,,Yoshi's Island: Super Mario Advance 3,Yoshi's Island: Super Mario Advance 3,https://www.imdb.com/title/tt0364132/,Video Game,8.1,,2002,"Action, Adventure, Fantasy",249,9/23/2002,Hiroyuki Kimura
131,tt0481575,4/28/2024,4/28/2024,,WarioWare: Twisted!,Mawaru meido in Wario,https://www.imdb.com/title/tt0481575/,Video Game,8.1,,2004,"Action, Comedy, Family, Fantasy",78,5/23/2005,"Teruyuki Hirosawa, Osamu Yamauchi, Goro Abe"
262,tt28144838,4/28/2024,4/28/2024,,Super Mario RPG,Super Mario RPG,https://www.imdb.com/title/tt28144838/,Video Game,8.1,,2023,"Action, Adventure, Family, Fantasy",255,11/17/2023,
41,tt0221605,4/28/2024,4/28/2024,,Super Mario Land 2: 6 Golden Coins,Sûpâ Mario rando 2: 6tsu no kinka,https://www.imdb.com/title/tt0221605/,Video Game,8,,1992,"Action, Adventure, Family, Fantasy, Sci-Fi",946,11/1/1992,"Takehiko Hosokawa, Hiroji Kiyotake"
68,tt0301931,4/28/2024,4/28/2024,,Tetris Attack,Tetris Attack,https://www.imdb.com/title/tt0301931/,Video Game,8,,1996,"Action, Family",102,1996-08,"Hitoshi Yamagami, Toshitaka Muramatsu, Masao Yamamoto"
72,tt0242420,4/28/2024,4/28/2024,,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Donkey Kong Country 3: Dixie Kong's Double Trouble!,https://www.imdb.com/title/tt0242420/,Video Game,8,,1996,"Action, Adventure",1311,11/18/1996,Tim Stamper
85,tt0233601,4/28/2024,4/28/2024,,Donkey Kong 64,Donkey Kong 64,https://www.imdb.com/title/tt0233601/,Video Game,8,,1999,"Action, Adventure, Comedy, Fantasy",1500,11/24/1999,George Andreas
87,tt0279946,4/28/2024,4/28/2024,,Mario Party 2,Mario Party 2,https://www.imdb.com/title/tt0279946/,Video Game,8,,1999,"Adventure, Family, Fantasy",784,1/24/2000,Kenji Kikuchi
150,tt0496536,4/28/2024,4/28/2024,,Mario Kart DS,Mario Kart DS,https://www.imdb.com/title/tt0496536/,Video Game,8,,2005,"Action, Adventure, Family, Fantasy, Sport",2565,11/14/2005,"Yasuyuki Oyagi, Makoto Wada"
193,tt2080342,4/28/2024,4/28/2024,,Mario Kart 7,Mario Kart 7,https://www.imdb.com/title/tt2080342/,Video Game,8,,2011,"Action, Family, Fantasy, Sport",2423,12/4/2011,Kosuke Yabuki
223,tt3794246,4/28/2024,4/28/2024,,Super Mario Maker,Super Mario Maker,https://www.imdb.com/title/tt3794246/,Video Game,8,,2015,"Action, Adventure, Family, Fantasy",1158,9/11/2015,"Yosuke Oshino, Yoshikazu Yamashita"
269,tt32441214,6/22/2024,6/22/2024,,Super Mario Party Jamboree,Super Mario Party Jamboree,https://www.imdb.com/title/tt32441214/,Video Game,8,,2024,"Action, Adventure, Family",150,10/17/2024,Takeru Sugimoto
107,tt0309062,4/28/2024,4/28/2024,,Wario Land 4,Wario Land 4,https://www.imdb.com/title/tt0309062/,Video Game,7.9,,2001,"Action, Adventure, Comedy, Family, Fantasy",292,11/19/2001,Hirofumi Matsuoka
174,tt1250844,4/28/2024,4/28/2024,,Mario Super Sluggers,Super Mario Stadium: Family Baseball,https://www.imdb.com/title/tt1250844/,Video Game,7.9,,2008,"Action, Family, Fantasy, Sport",279,8/25/2008,Hideki Tomida
213,tt2965774,4/28/2024,4/28/2024,,Mario Golf: World Tour,Mario Golf: World Tour,https://www.imdb.com/title/tt2965774/,Video Game,7.9,,2014,Sport,168,5/2/2014,Shugo Takahashi
215,tt3408266,4/28/2024,4/28/2024,,Super Smash Bros. for Nintendo 3DS,Dairantou sumasshu burazâzu for Nintendo 3DS,https://www.imdb.com/title/tt3408266/,Video Game,7.9,,2014,"Action, Fantasy, Sci-Fi, Sport",1228,10/3/2014,Masahiro Sakurai
236,tt7445770,4/28/2024,4/28/2024,,Mario & Luigi: Superstar Saga + Bowser's Minions,Mario & Ruîji RPG1 DX,https://www.imdb.com/title/tt7445770/,Video Game,7.9,,2017,Action,97,10/6/2017,Shunsuke Kobayashi
266,tt29143535,4/28/2024,4/28/2024,,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,https://www.imdb.com/title/tt29143535/,Video Game,7.9,,2024,"Action, Adventure, Comedy, Fantasy",697,5/23/2024,
76,tt0229339,4/28/2024,4/28/2024,,Diddy Kong Racing,Diddy Kong Racing,https://www.imdb.com/title/tt0229339/,Video Game,7.8,,1997,"Action, Adventure, Fantasy",958,11/24/1997,Lee Schuneman
81,tt0279945,4/28/2024,4/28/2024,,Mario Party,Mario Party,https://www.imdb.com/title/tt0279945/,Video Game,7.8,,1998,"Adventure, Family, Fantasy",979,2/8/1999,Kenji Kikuchi
83,tt19729988,4/28/2024,4/28/2024,,Super Mario Bros. Deluxe,Super Mario Bros. Deluxe,https://www.imdb.com/title/tt19729988/,Video Game,7.8,,1999,"Action, Adventure, Family, Fantasy",42,5/1/1999,Toshiaki Suzuki
116,tt0370913,4/28/2024,4/28/2024,,"WarioWare, Inc.: Mega Microgame$!",Meido in Wario,https://www.imdb.com/title/tt0370913/,Video Game,7.8,,2003,"Comedy, Sci-Fi",227,5/26/2003,Hirofumi Matsuoka
152,tt0484859,4/28/2024,4/28/2024,,Mario & Luigi: Partners in Time,Mario & Luigi RPG 2×2,https://www.imdb.com/title/tt0484859/,Video Game,7.8,,2005,"Adventure, Comedy, Family, Fantasy, Sci-Fi",382,11/28/2005,
159,tt1223884,4/28/2024,4/28/2024,,WarioWare: Smooth Moves,Odoru meido in Wario,https://www.imdb.com/title/tt1223884/,Video Game,7.8,,2006,"Action, Comedy, Family",252,1/15/2007,"Taku Sugioka, Goro Abe"
162,tt1110280,4/28/2024,4/28/2024,,Super Paper Mario,Super Paper Mario,https://www.imdb.com/title/tt1110280/,Video Game,7.8,,2007,"Action, Adventure, Family, Fantasy",705,4/9/2007,Ryota Kawade
199,tt2084878,4/28/2024,4/28/2024,,Luigi's Mansion: Dark Moon,Luigi's Mansion: Dark Moon,https://www.imdb.com/title/tt2084878/,Video Game,7.8,,2013,"Action, Adventure, Fantasy, Horror",1039,3/24/2013,Bryce Holliday
232,tt6484700,4/28/2024,4/28/2024,,Poochy & Yoshi's Woolly World,Poochy & Yoshi's Woolly World,https://www.imdb.com/title/tt6484700/,Video Game,7.8,,2017,Adventure,65,2/3/2017,Kazumasa Yonetani
240,tt8598494,4/28/2024,4/28/2024,,WarioWare Gold,WarioWare Gold,https://www.imdb.com/title/tt8598494/,Video Game,7.8,,2018,"Action, Comedy, Family",105,8/3/2018,"Yoichi Tada, Goro Abe"
244,tt9630194,4/28/2024,4/28/2024,,New Super Mario Bros. U Deluxe,Nyû Sûpâ Mario Burazâzu Yû Derakkusu,https://www.imdb.com/title/tt9630194/,Video Game,7.8,,2019,"Action, Adventure, Family, Fantasy",1104,1/11/2019,Shiro Mouri
258,tt14883810,4/28/2024,4/28/2024,,Mario Party Superstars,Mario Party Superstars,https://www.imdb.com/title/tt14883810/,Video Game,7.8,,2021,,445,10/29/2021,Takeru Sugimoto
19,tt3487974,5/22/2024,5/22/2024,,Super Mario Bros.,Super Mario Bros.,https://www.imdb.com/title/tt3487974/,Video Game,7.7,,1986,Action,67,1986-06,
79,tt0283677,4/28/2024,4/28/2024,,Wario Land II,Wario rando 2: nusumareta zaihô,https://www.imdb.com/title/tt0283677/,Video Game,7.7,,1998,"Action, Adventure, Comedy, Family, Fantasy",187,1998-03,Takehiko Hosokawa
97,tt0283676,4/28/2024,4/28/2024,,Wario Land 3,Wario Land 3,https://www.imdb.com/title/tt0283676/,Video Game,7.7,,2000,"Action, Adventure, Comedy, Family, Fantasy",220,5/30/2000,Takehiko Hosokawa
99,tt0276320,4/28/2024,4/28/2024,,Mario Tennis,Mario Tennis,https://www.imdb.com/title/tt0276320/,Video Game,7.7,,2000,"Action, Family, Sport",499,8/28/2000,"Haruki Kodera, Atsushi Fujimoto, Yasuhiro Taguchi"
102,tt0279947,4/28/2024,4/28/2024,,Mario Party 3,Mario Party 3,https://www.imdb.com/title/tt0279947/,Video Game,7.7,,2000,"Adventure, Family, Fantasy",627,5/7/2001,Kenji Kikuchi
119,tt0378328,4/28/2024,4/28/2024,,Mario Golf: Toadstool Tour,Mario Golf: Family Tour,https://www.imdb.com/title/tt0378328/,Video Game,7.7,,2003,"Family, Fantasy, Sport",330,7/29/2003,Haruki Kodera
133,tt1278404,4/28/2024,4/28/2024,,Mario Party 6,Mario Party 6,https://www.imdb.com/title/tt1278404/,Video Game,7.7,,2004,"Adventure, Family, Fantasy",386,12/6/2004,Shuichiro Nishiya
151,tt0497448,4/28/2024,4/28/2024,,Super Mario Strikers,Super Mario Strikers,https://www.imdb.com/title/tt0497448/,Video Game,7.7,,2005,"Action, Adventure, Fantasy, Sci-Fi, Sport",371,12/5/2005,Mike Inglehart
198,tt2386454,4/28/2024,4/28/2024,,New Super Mario Bros. U,New Sûpâ Mario burazâzu U,https://www.imdb.com/title/tt2386454/,Video Game,7.7,,2012,"Action, Adventure, Family, Fantasy",1801,11/18/2012,Masataka Takemoto
203,tt2963466,4/28/2024,4/28/2024,,New Super Luigi U,New Super Luigi U,https://www.imdb.com/title/tt2963466/,Video Game,7.7,,2013,"Action, Adventure, Fantasy",1098,6/20/2013,Masataka Takemoto
222,tt2747110,4/28/2024,4/28/2024,,Yoshi's Woolly World,Yoshi's Woolly World,https://www.imdb.com/title/tt2747110/,Video Game,7.7,,2015,"Action, Adventure",283,10/16/2015,Atsushi Kono
270,tt32642277,7/20/2024,7/20/2024,,Mario & Luigi: Brothership,Mario & Luigi: Brothership,https://www.imdb.com/title/tt32642277/,Video Game,7.7,,2024,"Action, Adventure, Comedy, Family, Fantasy",72,11/7/2024,
28,tt0204660,4/28/2024,4/28/2024,,Super Mario Land,Sûpâ Mario Rando,https://www.imdb.com/title/tt0204660/,Video Game,7.6,,1989,"Action, Adventure, Family, Fantasy, Sci-Fi",1377,7/31/1989,Satoru Okada
64,tt0472574,4/28/2024,4/28/2024,,Virtual Boy Wario Land,Virtual Boy Wario Land,https://www.imdb.com/title/tt0472574/,Video Game,7.6,,1995,"Action, Adventure",52,11/27/1995,"Hiroji Kiyotake, Hirofumi Matsuoka"
103,tt0301905,4/28/2024,4/28/2024,,Super Mario Advance,Super Mario Advance,https://www.imdb.com/title/tt0301905/,Video Game,7.6,,2001,"Action, Adventure, Fantasy",314,6/11/2001,
114,tt0354729,4/28/2024,4/28/2024,,Mario Party 4,Mario Party 4,https://www.imdb.com/title/tt0354729/,Video Game,7.6,,2002,"Adventure, Family, Fantasy",605,10/21/2002,Kenji Kikuchi
135,tt0453565,4/28/2024,4/28/2024,,WarioWare: Touched!,Sawaru meido in Wario,https://www.imdb.com/title/tt0453565/,Video Game,7.6,,2004,"Action, Adventure, Comedy, Fantasy",166,2/14/2005,"Goro Abe, Teruyuki Hirosawa, Taku Sugioka, Ryuichi Nakada"
196,tt2305604,4/28/2024,4/28/2024,,New Super Mario Bros. 2,New Super Mario Bros. 2,https://www.imdb.com/title/tt2305604/,Video Game,7.6,,2012,"Action, Adventure, Family, Fantasy",1956,8/19/2012,Yusuke Amano
217,tt3811650,4/28/2024,4/28/2024,,Captain Toad: Treasure Tracker,Susume! Kinopio taichou,https://www.imdb.com/title/tt3811650/,Video Game,7.6,,2014,"Action, Adventure, Family, Fantasy, Mystery",410,12/5/2014,"Shinya Hiratake, Kenta Motokura"
260,tt14866060,4/28/2024,4/28/2024,,Mario + Rabbids: Sparks of Hope,Mario + Rabbids: Sparks of Hope,https://www.imdb.com/title/tt14866060/,Video Game,7.6,,2022,Action,179,10/20/2022,Davide Soliani
48,tt0221693,4/28/2024,4/28/2024,,Wario Land: Super Mario Land 3,Wario Land: Super Mario Land 3,https://www.imdb.com/title/tt0221693/,Video Game,7.5,,1994,"Action, Adventure, Comedy, Fantasy",345,3/13/1994,"Takehiko Hosokawa, Hiroji Kiyotake"
145,tt0483728,4/28/2024,4/28/2024,,Mario Superstar Baseball,Mario Superstar Baseball,https://www.imdb.com/title/tt0483728/,Video Game,7.5,,2005,"Comedy, Family, Fantasy, Sport",255,8/29/2005,Hideki Tomida
149,tt1856719,4/28/2024,4/28/2024,,Mario Party 7,Mario Party 7,https://www.imdb.com/title/tt1856719/,Video Game,7.5,,2005,"Action, Fantasy",403,11/7/2005,Shuichiro Nishiya
179,tt1810850,4/28/2024,4/28/2024,,WarioWare D.I.Y.,Meido in ore,https://www.imdb.com/title/tt1810850/,Video Game,7.5,,2009,Fantasy,59,3/28/2010,"Taku Sugioka, Goro Abe"
192,tt3503316,4/28/2024,4/28/2024,,Fortune Street,Itadaki Street Wii,https://www.imdb.com/title/tt3503316/,Video Game,7.5,,2011,,46,12/5/2011,Taiji Miyajima
204,tt2882136,4/28/2024,4/28/2024,,Mario & Luigi: Dream Team,Mario & Ruîji RPG4: Dorîmu adobenchâ,https://www.imdb.com/title/tt2882136/,Video Game,7.5,,2013,"Adventure, Fantasy",658,8/11/2013,Hiroyuki Kubota
235,tt7009286,4/28/2024,4/28/2024,,Mario + Rabbids Kingdom Battle,Mario + Rabbids Kingdom Battle,https://www.imdb.com/title/tt7009286/,Video Game,7.5,,2017,"Action, Adventure, Comedy, Family, Sci-Fi",609,8/29/2017,"Davide Soliani, Nicolas Vitte, Florian Landouzy"
252,tt12321538,4/28/2024,4/28/2024,,Paper Mario: The Origami King,Paper Mario: The Origami King,https://www.imdb.com/title/tt12321538/,Video Game,7.5,,2020,"Action, Adventure, Comedy, Fantasy",370,7/17/2020,Masahiko Nagaya
17,tt3507582,4/28/2024,4/28/2024,,VS. Super Mario Bros.,VS. Super Mario Bros.,https://www.imdb.com/title/tt3507582/,Video Game,7.4,,1986,"Action, Adventure, Fantasy",47,1986,Shigeru Miyamoto
124,tt0422115,4/28/2024,4/28/2024,,Donkey Konga,Donkey Konga,https://www.imdb.com/title/tt0422115/,Video Game,7.4,,2003,"Family, Music",89,9/27/2004,
132,tt0400636,4/28/2024,4/28/2024,,Mario Power Tennis,Mario Tennis GC,https://www.imdb.com/title/tt0400636/,Video Game,7.4,,2004,"Action, Family, Sport",329,11/8/2004,Haruki Kodera
153,tt9287402,4/28/2024,4/28/2024,,Tetris DS,Tetris DS,https://www.imdb.com/title/tt9287402/,Video Game,7.4,,2006,"Action, Family",34,3/20/2006,Masaki Tawara
163,tt1143906,4/28/2024,4/28/2024,,Mario Strikers Charged,Mario Strikers Charged,https://www.imdb.com/title/tt1143906/,Video Game,7.4,,2007,"Action, Fantasy, Sport",362,7/30/2007,Mike Inglehart
170,tt3498964,4/28/2024,4/28/2024,,Mario Party DS,Mario Party DS,https://www.imdb.com/title/tt3498964/,Video Game,7.4,,2007,"Adventure, Family, Fantasy",628,11/19/2007,Kenji Kikuchi
202,tt2746164,4/28/2024,4/28/2024,,Donkey Kong Country Returns,Donkey Kong Country Returns 3D,https://www.imdb.com/title/tt2746164/,Video Game,7.4,,2013,"Action, Adventure, Fantasy",78,5/24/2013,
208,tt6321926,4/28/2024,4/28/2024,,Ultimate NES Remix,Ultimate NES Remix,https://www.imdb.com/title/tt6321926/,Video Game,7.4,,2014,"Action, Adventure",22,12/5/2014,
243,tt9630228,4/28/2024,4/28/2024,,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Mario & Luigi RPG3 DX,https://www.imdb.com/title/tt9630228/,Video Game,7.4,,2018,"Action, Fantasy",62,1/11/2019,Shunsuke Kobayashi
245,tt7904082,4/28/2024,4/28/2024,,Yoshi's Crafted World,Yoshi's Crafted World,https://www.imdb.com/title/tt7904082/,Video Game,7.4,,2019,"Action, Adventure, Fantasy",282,3/29/2019,Masahiro Yamamoto
263,tt27389239,4/28/2024,4/28/2024,,WarioWare: Move It!,WarioWare: Move It!,https://www.imdb.com/title/tt27389239/,Video Game,7.4,,2023,"Game-Show, Reality-TV",43,11/3/2023,"Goro Abe, Yu Yamanaka"
1,tt0176664,4/28/2024,4/28/2024,,Donkey Kong,Donkey Kong,https://www.imdb.com/title/tt0176664/,Video Game,7.3,,1981,Action,2271,6/2/1981,Shigeru Miyamoto
3,tt0176971,4/28/2024,4/28/2024,,Mario Bros.,Mario Bros.,https://www.imdb.com/title/tt0176971/,Video Game,7.3,,1983,"Action, Fantasy",1538,7/20/1983,Shigeru Miyamoto
