Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb_Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
256,tt14075266,4/28/2024,4/28/2024,,Mario Golf: Super Rush,Mario Golf: Super Rush,https://www.imdb.com/title/tt14075266/,Video Game,6.7,,2021,Sport,176,6/25/2021,"Shugo Takahashi, Tomohiro Yamamura"
2,tt0204287,4/28/2024,4/28/2024,,Donkey Kong Junior,Donkey Kong Jr.,https://www.imdb.com/title/tt0204287/,Video Game,6.6,,1982,"Action, Family",391,9/19/1982,Shigeru Miyamoto
184,tt1772975,4/28/2024,4/28/2024,,Mario & Sonic at the Olympic Winter Games,Mario & Sonikku AT Bankuba Orinpikku,https://www.imdb.com/title/tt1772975/,Video Game,6.6,,2009,"Family, Sport",471,10/13/2009,"Takashi Iizuka, Eigo Kasahara"
194,tt2186949,4/28/2024,4/28/2024,,Mario Party 9,Mario Party 9,https://www.imdb.com/title/tt2186949/,Video Game,6.6,,2012,"Adventure, Family, Fantasy",488,3/11/2012,"Kenji Kikuchi, Shuichiro Nishiya"
265,tt28145243,4/28/2024,4/28/2024,,Princess Peach: Showtime!,Princess Peach: Showtime!,https://www.imdb.com/title/tt28145243/,Video Game,6.6,,2024,"Action, Adventure, Fantasy",623,3/22/2024,Etsunobu Ebisu
57,tt2200602,4/28/2024,4/28/2024,,Mario's Picross,Mario's Picross,https://www.imdb.com/title/tt2200602/,Video Game,6.5,,1995,Adventure,39,3/10/1995,
101,tt3432678,4/28/2024,4/28/2024,,Mario Artist: Polygon Studio,Mario Artist: Polygon Studio,https://www.imdb.com/title/tt3432678/,Video Game,6.5,,2000,Family,13,8/29/2000,Hirofumi Matsuoka
160,tt3501094,4/28/2024,4/28/2024,,Wario: Master of Disguise,Kaitô Wario the Seven,https://www.imdb.com/title/tt3501094/,Video Game,6.5,,2007,"Action, Adventure, Comedy, Family, Fantasy",48,3/5/2007,"Yutaka Hirata, Akira Kinashi, Azusa Tajima"
183,tt3390576,4/28/2024,4/28/2024,,Mario vs. Donkey Kong: Minis March Again!,Mario vs. Donkey Kong: Minis March Again!,https://www.imdb.com/title/tt3390576/,Video Game,6.5,,2009,"Action, Comedy",29,6/8/2009,Yukimi Shimura
96,tt3436080,4/28/2024,4/28/2024,,Mario Artist: Talent Studio,Mario Artist: Talent Studio,https://www.imdb.com/title/tt3436080/,Video Game,6.4,,2000,Family,13,2/23/2000,Hiroyuki Kimura
180,tt10981524,4/28/2024,4/28/2024,,WarioWare: D.I.Y. Showcase,Asobu Meido in Ore,https://www.imdb.com/title/tt10981524/,Video Game,6.4,,2009,,14,3/29/2010,"Taku Sugioka, Goro Abe"
15,tt0185017,4/28/2024,4/28/2024,,Wrecking Crew,Wrecking Crew,https://www.imdb.com/title/tt0185017/,Video Game,6.3,,1984,"Action, Family",112,10/18/1985,
29,tt1242591,4/28/2024,4/28/2024,,Alleyway,Areiuei,https://www.imdb.com/title/tt1242591/,Video Game,6.3,,1989,"Action, Adventure, Family",43,1989-08,
136,tt0486057,4/28/2024,4/28/2024,,Yoshi's Universal Gravitation,Yosshî no banyû inryoku,https://www.imdb.com/title/tt0486057/,Video Game,6.3,,2004,"Adventure, Fantasy",41,6/13/2005,"Hiroto Saiki, Hidetoshi Takeshita"
218,tt4417916,4/28/2024,4/28/2024,,Mario vs. Donkey Kong: Tipping Stars,Mario vs. Donkî kongu: minnna de minirando,https://www.imdb.com/title/tt4417916/,Video Game,6.3,,2015,"Action, Adventure",29,3/5/2015,Stephen Mortimer
